### EQUATION OF STATE FOR A MODEL OF 44% POROSITY CRUSHED BASALT
### Adapted from Wójcicka et al. (2020)
# Bulk Modulus = 1.17e9      # Pa
# Tensile pressure = -8e3    # Pa
# Density = 1589             # kg/m^3

# Elastic regime: Volumetric Strain , Pressure (Pa)
                      0.000000e+00, 0.000000e+00
                      8.509013e-05, 1.000000e+05
# Pore-crush regime: Volumetric Strain , Pressure (Pa)
                      8.509013e-05, 1.000000e+05
                      2.347947e-02, 5.119440e+06
                      4.902690e-02, 7.813813e+06
                      7.457434e-02, 1.139285e+07
                      1.001218e-01, 1.614703e+07
                      1.256692e-01, 2.246219e+07
                      1.512167e-01, 3.085087e+07
                      1.767641e-01, 4.199387e+07
                      2.023115e-01, 5.679556e+07
                      2.278590e-01, 7.645721e+07
                      2.534064e-01, 1.025746e+08
                      2.789539e-01, 1.372672e+08
                      3.045013e-01, 1.833509e+08
                      3.300487e-01, 2.445656e+08
                      3.555962e-01, 3.258795e+08
                      3.811436e-01, 4.338919e+08
                      4.066910e-01, 5.773690e+08
                      4.322385e-01, 7.679552e+08
                      4.577859e-01, 1.021118e+09
                      4.833333e-01, 1.906667e+09
# Full-crush regime: Volumetric Strain , Pressure (Pa)
                      0.44        , 0.000000e+00
                      0.46166666  , 9.533333e+08
                      0.48333334  , 1.906667e+09
                      0.505       , 2.860000e+09
                      0.52666665  , 3.813333e+09
                      0.5483333   , 4.766667e+09
                      0.56999993  , 5.720000e+09
                      0.59166673  , 6.673333e+09
                      0.61333335  , 7.626667e+09
                      0.635       , 8.580000e+09
                      0.65666662  , 9.533333e+09
                      0.6783333   , 1.048667e+10
                      0.69999997  , 1.144000e+10
                      0.75        , 1.364000e+10
                      0.8         , 1.584000e+10
                      0.85000001  , 1.804000e+10
                      0.9         , 2.024000e+10
                      0.95        , 2.244000e+10
