### STRENGTH CURVE FOR A MODEL OF 44% POROSITY CRUSHED BASALT
### Adapted from Wójcicka et al. (2020)
# Shear Modulus = 5.4e+08           # Pa
# Density = 1589                    # kg/m^3
# Tensile strength =  -8.333e+03    # Pa

# Strength curve : Mean Stress (Pa) , Strength (Pa)
                       -8.333167e+03,  0.000000e+00
                       -8.322104e+03,  6.638016e+00
                       -7.979153e+03,  2.124163e+02
                       -5.644878e+03,  1.613027e+03
                        2.995260e+03,  6.797143e+03
                        2.623845e+04,  2.074208e+04
                        7.769208e+04,  5.160656e+04
                        1.776013e+05,  1.115154e+05
                        3.541765e+05,  2.173254e+05
                        6.449210e+05,  3.913546e+05
                        1.097959e+06,  6.620437e+05
                        1.773361e+06,  1.064507e+06
                        2.744475e+06,  1.640909e+06
                        4.099251e+06,  2.440588e+06
                        5.941569e+06,  3.519820e+06
                        8.392570e+06,  4.941116e+06
                        1.159198e+07,  6.771921e+06
                        1.569943e+07,  9.082617e+06
                        2.089580e+07,  1.194374e+07
                        2.738454e+07,  1.542243e+07
                        3.539300e+07,  1.957816e+07
                        4.517374e+07,  2.445806e+07
                        5.700587e+07,  3.009210e+07
                        7.119640e+07,  3.648869e+07
                        8.808152e+07,  4.363131e+07
                        1.080280e+08,  5.147662e+07
                        1.314343e+08,  5.995459e+07
                        1.587324e+08,  6.897085e+07
                        1.903885e+08,  7.841111e+07
                        2.269048e+08,  8.814719e+07
                        2.688206e+08,  9.804419e+07
                        3.167136e+08,  1.079677e+08
                        3.712016e+08,  1.177906e+08
                        4.329433e+08,  1.273984e+08
                        5.026400e+08,  1.366935e+08
                        5.810368e+08,  1.455969e+08
                        6.689240e+08,  1.540492e+08
                        7.671381e+08,  1.620098e+08
                        8.765638e+08,  1.694551e+08
                        9.981345e+08,  1.763761e+08
                        1.132834e+09,  1.827764e+08
                        1.281699e+09,  1.886687e+08
                        1.445818e+09,  1.940731e+08
                        1.626334e+09,  1.990147e+08
                        1.824446e+09,  2.035218e+08
                        2.041411e+09,  2.076243e+08
                        2.278543e+09,  2.113526e+08
                        2.537216e+09,  2.147370e+08
                        2.818867e+09,  2.178066e+08
                        3.124992e+09,  2.205893e+08
                        3.457153e+09,  2.231111e+08
                        3.816977e+09,  2.253964e+08
                        4.206157e+09,  2.274677e+08
                        4.626454e+09,  2.293456e+08
                        5.079696e+09,  2.310488e+08
                        5.567785e+09,  2.325945e+08
                        6.092692e+09,  2.339980e+08
                        6.656461e+09,  2.352735e+08
                        7.261212e+09,  2.364334e+08
                        7.909140e+09,  2.374892e+08
                        8.602516e+09,  2.384510e+08
                        9.343691e+09,  2.393280e+08
                        1.013509e+10,  2.401284e+08
                        1.097923e+10,  2.408596e+08
                        1.187871e+10,  2.415283e+08
                        1.283619e+10,  2.421404e+08
                        1.385444e+10,  2.427012e+08
                        1.493631e+10,  2.432155e+08
                        1.608474e+10,  2.436877e+08
                        1.730274e+10,  2.441216e+08
                        1.859344e+10,  2.445207e+08
                        1.996003e+10,  2.448882e+08
                        2.140583e+10,  2.452268e+08
                        2.293421e+10,  2.455392e+08
                        2.454868e+10,  2.458277e+08
                        2.625281e+10,  2.460943e+08
                        2.805030e+10,  2.463409e+08
                        2.994492e+10,  2.465693e+08
                        3.194056e+10,  2.467809e+08
                        3.404121e+10,  2.469771e+08
                        3.625096e+10,  2.471593e+08
                        3.857400e+10,  2.473285e+08
                        4.101463e+10,  2.474859e+08
                        4.357727e+10,  2.476323e+08
                        4.626643e+10,  2.477687e+08
                        4.908674e+10,  2.478959e+08
                        5.204294e+10,  2.480144e+08
                        5.513988e+10,  2.481251e+08
                        5.838254e+10,  2.482285e+08
                        6.177598e+10,  2.483252e+08
                        6.532541e+10,  2.484156e+08
                        6.903615e+10,  2.485002e+08
                        7.291363e+10,  2.485795e+08
                        7.696342e+10,  2.486539e+08
                        8.119119e+10,  2.487236e+08
                        8.560274e+10,  2.487891e+08
                        9.020400e+10,  2.488506e+08
                        9.500102e+10,  2.489084e+08
                        1.000000e+11,  2.489627e+08
