### STRENGTH CURVE FOR BASALT
### Adapted from Wójcicka et al. (2020)
# Shear Modulus = 8.9e+09           # Pa
# Density = 2860                    # kg/m^3
# Tensile strength =  -7.142e3      # Pa

# Strength curve : Mean Stress (Pa) , Strength (Pa)
                       -7.142821e+03,  0.000000e+00
                       -7.132306e+03,  7.360824e+00
                       -6.806330e+03,  2.355463e+02
                       -4.587589e+03,  1.788677e+03
                        3.624905e+03,  7.537427e+03
                        2.571767e+04,  2.300205e+04
                        7.462460e+04,  5.723449e+04
                        1.695888e+05,  1.236981e+05
                        3.374244e+05,  2.411413e+05
                        6.137785e+05,  4.344605e+05
                        1.044393e+06,  7.355410e+05
                        1.686366e+06,  1.184064e+06
                        2.609415e+06,  1.828260e+06
                        3.897136e+06,  2.725573e+06
                        5.648269e+06,  3.943217e+06
                        7.977957e+06,  5.558556e+06
                        1.101901e+07,  7.659266e+06
                        1.492316e+07,  1.034322e+07
                        1.986234e+07,  1.371798e+07
                        2.602992e+07,  1.789988e+07
                        3.364200e+07,  2.301258e+07
                        4.293864e+07,  2.918498e+07
                        5.418514e+07,  3.654851e+07
                        6.767331e+07,  4.523376e+07
                        8.372270e+07,  5.536637e+07
                        1.026819e+08,  6.706240e+07
                        1.249298e+08,  8.042317e+07
                        1.508767e+08,  9.552993e+07
                        1.809660e+08,  1.124385e+08
                        2.156749e+08,  1.311744e+08
                        2.555161e+08,  1.517286e+08
                        3.010386e+08,  1.740548e+08
                        3.528297e+08,  1.980678e+08
                        4.115155e+08,  2.236439e+08
                        4.777626e+08,  2.506232e+08
                        5.522792e+08,  2.788137e+08
                        6.358163e+08,  3.079972e+08
                        7.291694e+08,  3.379363e+08
                        8.331790e+08,  3.683823e+08
                        9.487326e+08,  3.990834e+08
                        1.076766e+09,  4.297928e+08
                        1.218262e+09,  4.602755e+08
                        1.374258e+09,  4.903148e+08
                        1.545839e+09,  5.197164e+08
                        1.734146e+09,  5.483124e+08
                        1.940372e+09,  5.759620e+08
                        2.165767e+09,  6.025528e+08
                        2.411638e+09,  6.279995e+08
                        2.679348e+09,  6.522425e+08
                        2.970321e+09,  6.752457e+08
                        3.286042e+09,  6.969933e+08
                        3.628057e+09,  7.174878e+08
                        3.997974e+09,  7.367462e+08
                        4.397468e+09,  7.547976e+08
                        4.828277e+09,  7.716808e+08
                        5.292208e+09,  7.874415e+08
                        5.791135e+09,  8.021306e+08
                        6.327000e+09,  8.158023e+08
                        6.901819e+09,  8.285124e+08
                        7.517678e+09,  8.403176e+08
                        8.176735e+09,  8.512741e+08
                        8.881225e+09,  8.614368e+08
                        9.633457e+09,  8.708593e+08
                        1.043582e+10,  8.795928e+08
                        1.129077e+10,  8.876862e+08
                        1.220086e+10,  8.951858e+08
                        1.316872e+10,  9.021354e+08
                        1.419704e+10,  9.085759e+08
                        1.528862e+10,  9.145456e+08
                        1.644634e+10,  9.200803e+08
                        1.767315e+10,  9.252132e+08
                        1.897211e+10,  9.299750e+08
                        2.034634e+10,  9.343943e+08
                        2.179908e+10,  9.384976e+08
                        2.333364e+10,  9.423090e+08
                        2.495343e+10,  9.458511e+08
                        2.666195e+10,  9.491445e+08
                        2.846280e+10,  9.522084e+08
                        3.035966e+10,  9.550602e+08
                        3.235634e+10,  9.577161e+08
                        3.445672e+10,  9.601910e+08
                        3.666478e+10,  9.624985e+08
                        3.898461e+10,  9.646512e+08
                        4.142041e+10,  9.666606e+08
                        4.397648e+10,  9.685375e+08
                        4.665719e+10,  9.702915e+08
                        4.946708e+10,  9.719316e+08
                        5.241074e+10,  9.734663e+08
                        5.549289e+10,  9.749030e+08
                        5.871838e+10,  9.762489e+08
                        6.209213e+10,  9.775104e+08
                        6.561921e+10,  9.786934e+08
                        6.930477e+10,  9.798036e+08
                        7.315411e+10,  9.808460e+08
                        7.717263e+10,  9.818252e+08
                        8.136583e+10,  9.827457e+08
                        8.573935e+10,  9.836114e+08
                        9.029895e+10,  9.844261e+08
                        9.505050e+10,  9.851931e+08
                        1.000000e+11,  9.859156e+08
